Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number
Sankofa at Arlington Woods#99,SHALOM HEALTH CARE CENTER INC,4326 PATRICIA ST,INDIANAPOLIS,IN,46222-1543,317-226-4194
Aspire Indiana Health - Willowbrook,"Jane Pauley Community Health Center, Inc.",1315 N Arlington Ave,Indianapolis,IN,46219-3278,844-695-7242
Meridian Health Services Corp,SHALOM HEALTH CARE CENTER INC,3400 Lafayette Rd,Indianapolis,IN,46222-1146,317-291-7422
Newby Elementary School,SHALOM HEALTH CARE CENTER INC,3400 LAFAYETTE RD STE 200,INDIANAPOLIS,IN,46222-1147,317-291-7422
Indiana Math and Science Academy West,SHALOM HEALTH CARE CENTER INC,5240 W   22nd St,Indianapolis,IN,46224-5021,317-244-9836
IPS School 79 - Carl Wilde,SHALOM HEALTH CARE CENTER INC,5801 E 30th St Rm 104,Indianapolis,IN,46218-3315,317-226-4299
Adult and Child at Burkhart Elementary,ASPIRE INDIANA HEALTH INC,2506 Willowbrook Pkwy,Indianapolis,IN,46205-1564,877-574-1254
Windrose Health Network - Epler Parke,MERIDIAN HEALTH SERVICES CORP.,4755 Kingsway Dr Ste 105A,Indianapolis,IN,46205-1549,317-803-2270
Epler Parke BH Services,SHALOM HEALTH CARE CENTER INC,1849 N Whitcomb Ave,Indianapolis,IN,46224-5538,317-241-0572
HealthNet Healthy Families,SHALOM HEALTH CARE CENTER INC,4575 W 38TH ST,INDIANAPOLIS,IN,46254-3313,317-298-0025
Wheeler Elementary School,SHALOM HEALTH CARE CENTER INC,5002 W 34th St Rm 604,Indianapolis,IN,46224-1519,317-226-4279
Adult and Child at Center for Inquiry School 84,ADULT & CHILD MENTAL HEALTH CENTER INC,5701 Brill Rd,Indianapolis,IN,46227-1908,877-882-5122
Jane Pauley Community Health Center at Shadeland,"WINDROSE HEALTH NETWORK, INC.",5550 S East St,Indianapolis,IN,46227-1979,317-534-4660
Adult and Child Suite 15 at Jeremiah Gray Elementary,"WINDROSE HEALTH NETWORK, INC.",5550 S. East Street  STE A1,Indianapolis,IN,46227-1991,317-534-4660
HealthNet Speedway Health & Dental Center,"Health Net, Inc.",6029 W   10th St,Indianapolis,IN,46224-6115,317-957-2550
HealthNet Mobile Health Center,SHALOM HEALTH CARE CENTER INC,5700 Meadowood Dr.,Speedway,IN,46224-3245,317-291-4274
Eskenazi Health Center Northwest Middle School,ADULT & CHILD MENTAL HEALTH CENTER INC,440 E 57th St,Indianapolis,IN,46220-2518,877-882-5122
Eskenazi Health Center Grande,"Jane Pauley Community Health Center, Inc.",2040 N Shadeland Ave STE 300,Indianapolis,IN,46219-1712,844-695-7242
Eskenazi Health Center West 38th Street,ADULT & CHILD MENTAL HEALTH CENTER INC,5225 Gray Rd,Indianapolis,IN,46237-1816,877-882-5122
Adult and Child at Meredith Nicholson School 96,"Health Net, Inc.",6020 Crawfordsville Rd Ste 102,Indianapolis,IN,46224-3710,317-957-2070
IPS School 107 - Lew Wallace,"Health Net, Inc.",6425 Olivia Ln Unit 409,Indianapolis,IN,46226-6157,317-957-2000
Enlace Academy,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,5525 W 34th St,Indianapolis,IN,46224-1301,317-880-3535
Jane Pauley Community Health Center at Washington Street,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,6002 East 38th St,Indianapolis,IN,46226-5614,317-880-6002
Adult and Child at Southport Elementary,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,5515 W 38TH ST,INDIANAPOLIS,IN,46254-2919,317-880-3838
Adult and Child at Circle City Prep,ADULT & CHILD MENTAL HEALTH CENTER INC,3651 N Kiel Ave,Indianapolis,IN,46224-1226,877-882-5122
Adult and Child at MacArthur Elementary,SHALOM HEALTH CARE CENTER INC,3307 Ashway. DD  Rm 404,Indianapolis,IN,46224-2120,317-226-4107
Shalom 56th Street - New Access Point,SHALOM HEALTH CARE CENTER INC,3725 Kiel Avenue. 2nd floor,Indianapolis,IN,46224,317-226-4108
Adult and Child at Thompson Crossing Elementary,"Jane Pauley Community Health Center, Inc.","7910 E Washington St, Ste 300",Indianapolis,IN,46219-5564,844-695-7242
Jane Pauley Community Health Center at Post,ADULT & CHILD MENTAL HEALTH CENTER INC,261 Anniston Dr,Indianapolis,IN,46227-5522,877-882-5122
Eskenazi Health Center Pecar,ADULT & CHILD MENTAL HEALTH CENTER INC,4002 N Franklin Rd,Indianapolis,IN,46226-5297,877-882-5122
Charles W. Fairbanks IPS School 105,ADULT & CHILD MENTAL HEALTH CENTER INC,454 E Stop 11 Rd,Indianapolis,IN,46227-2560,877-882-5122
Indiana Math and Science Academy North,SHALOM HEALTH CARE CENTER INC,5750 W 56th St,Indianapolis,IN,46254-1695,317-291-7422
Adult and Child Health - Greenwood,ADULT & CHILD MENTAL HEALTH CENTER INC,7525 E Thompson Rd,Indianapolis,IN,46239-9127,877-882-5122
Adult and Child -Siear Terrace,"Jane Pauley Community Health Center, Inc.",8931 E   30th St,Indianapolis,IN,46219-1501,844-695-7242
Adult and Child at Winchester Village Elementary,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,6940 Michigan Rd,Indianapolis,IN,46268-2800,317-266-2901
Eskenazi Health Center Grassy Creek,SHALOM HEALTH CARE CENTER INC,8620 Montery Rd,Indianapolis,IN,46226-5470,317-226-4105
"Damar Services, Inc- Damar Health Services",SHALOM HEALTH CARE CENTER INC,7435 N KEYSTONE AVE,INDIANAPOLIS,IN,46240-4367,317-259-7363
Jane Pauley Community Health Center at County Line Road Greenwood,ADULT & CHILD MENTAL HEALTH CENTER INC,8320 Madison Ave,Indianapolis,IN,46227-6066,317-882-5122
Adult and Child at Franklin Central High School,ADULT & CHILD MENTAL HEALTH CENTER INC,"8404 Siear Ter, Ste 100",Indianapolis,IN,46227-7201,877-882-5122
Adult and Child at Kitley Intermediate,ADULT & CHILD MENTAL HEALTH CENTER INC,1900 E Stop 12 Rd,Indianapolis,IN,46227-6232,877-882-5122
Jane Pauley Community Health Center at Castleton,MERIDIAN HEALTH SERVICES CORP.,5230 E Stop 11 Road  STE 300,Indianapolis,IN,46237-6398,765-288-1982
Adult and Child at Adams Elementary,THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY,9443 E. 38th St.,Indianapolis,IN,46235-2132,317-890-2100
Adult and Child at South Creek Elementary,DAMAR SERVICES INC,5715 Decatur Blvd,Indianapolis,IN,46241-9561,317-455-2366
Dr. Arthur Galstian - Shalom OBGYN Practice,"Jane Pauley Community Health Center, Inc.",333 E County Line Rd,Greenwood,IN,46143-1079,844-695-7242
Adult and Child at Franklin Central Junior High,ADULT & CHILD MENTAL HEALTH CENTER INC,6215 S Franklin Rd,Indianapolis,IN,46259-9600,877-882-5122
Adult and Child at Ray Crowe Elementary,ADULT & CHILD MENTAL HEALTH CENTER INC,8735 Indian Creek Rd S,Indianapolis,IN,46259-1330,877-882-5122
Aspire Indiana Health - Carmel,"Jane Pauley Community Health Center, Inc.",7481 N Shadeland Ave Ste A,Indianapolis,IN,46250-2077,844-695-7242
Adult and Child Health - Northwood Plaza,ADULT & CHILD MENTAL HEALTH CENTER INC,7341 E Stop 11 Rd,Indianapolis,IN,46259-7709,877-882-5122
Adult and Child at Creekside Elementary,ADULT & CHILD MENTAL HEALTH CENTER INC,9010 E Southport Rd,Indianapolis,IN,46259-9813,877-882-5122
Jane Pauley Community Health Center at Greenfield,SHALOM HEALTH CARE CENTER INC,9240 N Meridian  STE 180,Indianapolis,IN,46260,317-582-1100
Windrose Health Network - Franklin,ADULT & CHILD MENTAL HEALTH CENTER INC,10440 Indian Creek Rd S,Indianapolis,IN,46259-1451,877-882-5122
Aspire Indiana Health - Noblesville,ADULT & CHILD MENTAL HEALTH CENTER INC,1300 Ray Crowe Way,Greenwood,IN,46143,877-882-5122
IHC Hamilton County WIC,ASPIRE INDIANA HEALTH INC,697 Pro-Med Ln,Carmel,IN,46032-5323,877-574-1254
Adult and Child at Monrovia High School,MERIDIAN HEALTH SERVICES CORP.,"1001 Hadley Rd, Ste 103",Mooresville,IN,46158-1884,765-288-1928
Adult and Child at Monrovia Middle School,ADULT & CHILD MENTAL HEALTH CENTER INC,1860 Northwood Plz,Franklin,IN,46131-1037,317-882-5122
Windrose Health Network - Trafalgar,ADULT & CHILD MENTAL HEALTH CENTER INC,700 E State Road 44,Franklin,IN,46131,877-882-5122
Boone County Community Clinic,"Jane Pauley Community Health Center, Inc.",1107 N STATE ST,GREENFIELD,IN,46140-1207,844-695-7242
Aspire Indiana Health - Lebanon,"WINDROSE HEALTH NETWORK, INC.",55 N. Milford Drive,Franklin,IN,46131-7308,317-739-4848
Jane Pauley Community Health Center at Shelbyville,ASPIRE INDIANA HEALTH INC,17840 Cumberland Rd,Noblesville,IN,46060-5409,877-574-1254
Aspire Indiana Health - May House,INDIANA HEALTH CENTERS INCORPORATED,942 N   10th St,Noblesville,IN,46060-1801,317-776-3445
Aspire Indiana Health - Mockingbird Hill,ADULT & CHILD MENTAL HEALTH CENTER INC,205 S Chestnut St,Monrovia,IN,46157-1025,317-996-2258
Aspire Indiana Health - Hoak,ADULT & CHILD MENTAL HEALTH CENTER INC,215 S Chestnut St,Monrovia,IN,46157-1025,877-882-5122
Open Door Health Services - Anderson Primary Care,"WINDROSE HEALTH NETWORK, INC.",14 Trafalgar Sq,Trafalgar,IN,46181-9515,317-412-9190
Aspire Indiana Health - DeHaven,RIGGS COMMUNITY HEALTH CENTER INC,416 W Camp St,Lebanon,IN,46052-1799,765-483-4469
Aspire Indiana Health - Mobile Clinic,ASPIRE INDIANA HEALTH INC,1600 West Main St,Lebanon,IN,46052,877-574-1254
Jane Pauley Community Health Center at the Wigwam,"Jane Pauley Community Health Center, Inc.","1818 E. State Road 44, Suite B",Shelbyville,IN,46176-1814,463-232-3088
Jane Pauley Community Health Center at 1629 Anderson,ASPIRE INDIANA HEALTH INC,6775 W State Road 32,Anderson,IN,46011-8765,877-574-1254
Jane Pauley Community Health Center at 1210B Anderson,ASPIRE INDIANA HEALTH INC,4038 Ridgeview Court  STE 1,Anderson,IN,46013-2307,877-574-1254
IHC Tipton County WIC,MERIDIAN HEALTH SERVICES CORP.,2010 Brentwood Dr Ste 1,Anderson,IN,46011-4042,765-393-0063
Grace Clinic - Putnam County,MERIDIAN HEALTH SERVICES CORP.,101 W 29th St,Anderson,IN,46016-5209,765-288-1928
Riggs Community Health Center,ASPIRE INDIANA HEALTH INC,2009 Brown St,Anderson,IN,46016-4216,765-608-6600
Windrose Health Network - Hope,"OPEN DOOR HEALTH SERVICES, INC.",2101 Jackson St Ste 8,Anderson,IN,46016-4341,765-286-7000
Meridian Health Services,ASPIRE INDIANA HEALTH INC,2020 Brown St,Anderson,IN,46016-4218,877-574-1254
IHC Clinton County WIC,ASPIRE INDIANA HEALTH INC,215 W 19th St,Anderson,IN,46016-4204,877-574-1254
Centerstone Health Services - Columbus,"Jane Pauley Community Health Center, Inc.",1229 Lincoln St,Anderson,IN,46016-1693,765-253-5222
Jane Pauley Community Health Center at Alexandria-Monroe Intermediate School,MERIDIAN HEALTH SERVICES CORP.,1547 Ohio Ave,Anderson,IN,46016-1917,765-641-7499
Jane Pauley Community Health Center at Alexandria-Monroe Junior-Senior High School,"Jane Pauley Community Health Center, Inc.",1629 Medical Arts Blvd,Anderson,IN,46011-3454,844-695-7242
Jane Pauley Community Health Center at Alexandria,"Jane Pauley Community Health Center, Inc.",1210 Medical Arts Blvd Ste 300,Anderson,IN,46011-3439,765-563-2843
VPCHC - Crawfordsville,INDIANA HEALTH CENTERS INCORPORATED,"116 S. MAIN ST., STE. E",TIPTON,IN,46072-1864,765-675-8494
Monroe County Public Library Clinic,HAMILTON CENTER INC,239 Hillsdale Ave Ste A,Greencastle,IN,46135-1340,765-653-1024
Middle Way House Clinic,RIGGS COMMUNITY HEALTH CENTER INC,2121 S Gopher Dr BLDG,Frankfort,IN,46041-6800,765-742-1567
Aspire Indiana Health - Elwood,MERIDIAN HEALTH SERVICES CORP.,1518 Main St,Elwood,IN,46036-2021,765-552-0841
Centerstone Health Services,"WINDROSE HEALTH NETWORK, INC.",163 Butner Drive,Hope,IN,47246-9447,812-546-6000
Bloomington Health and Dental Center,MERIDIAN HEALTH SERVICES CORP.,509 Conrad Harcourt Way,Rushville,IN,46173-1165,765-932-3699
Wheeler Mission Center for Men Clinic,MERIDIAN HEALTH SERVICES CORP.,50 S Maish Rd,Frankfort,IN,46041-2824,765-288-1928
Jane Pauley Community Health Center at Reed Street Kokomo,MERIDIAN HEALTH SERVICES CORP.,1 South Maish Road  RM A016,Frankfort,IN,46041-2825,765-288-1928
Jane Pauley Community Health Center at LaFountain Street Kokomo,INDIANA HEALTH CENTERS INCORPORATED,2120 Washington Ave,Frankfort,IN,46041-8207,765-659-2131
IHC-Owen County,CENTERSTONE HEALTH SERVICES INC,720 N Marr Rd Ste A,Columbus,IN,47201-6660,812-339-1691
IHC at Kokomo,"Jane Pauley Community Health Center, Inc.",308 W 11th St Rm G-1,Alexandria,IN,46001-2806,844-695-7242
Bowen Health- Kokomo,"Jane Pauley Community Health Center, Inc.",1 Burden Ct Rm 16,Alexandria,IN,46001-2632,844-695-7242
Crawford Apartments Clinic,"Jane Pauley Community Health Center, Inc.",121 W Washington St,Alexandria,IN,46001-1809,844-695-7242
Open Door Pediatrics and Family Medicine,MERIDIAN HEALTH SERVICES CORP.,101 N Harrison St,Alexandria,IN,46001-2017,765-442-0570
MeridianMD,MERIDIAN HEALTH SERVICES CORP.,930 N 14th St,New Castle,IN,47362-4311,765-599-2754
IHC Howard County WIC,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,1702 Lafayette Rd,Crawfordsville,IN,47933-1033,765-362-5100
Urgent Care,"Health Net, Inc.","303 East Kirkwood Ave, Room 2B",Bloomington,IN,47408-3534,812-349-3050
Adult and Child at Clear Creek Elementary,"Health Net, Inc.",338 S Washington St,Bloomington,IN,47401-3529,812-829-1660
Open Door Health Services Behavioral Health,ASPIRE INDIANA HEALTH INC,10731 SR13,Elwood,IN,46036-0000,877-574-1254
Open Door Mobile School Health #1,MERIDIAN HEALTH SERVICES CORP.,2600 County Road 600 W  RM SG-1,Russiaville,IN,46979-9052,765-288-1928
Open Door Health Services,CENTERSTONE HEALTH SERVICES INC,645 S Rogers St,Bloomington,IN,47403-2353,812-339-1691
Jane Pauley Community Health Center at Turning Point,"Health Net, Inc.",811 W 2nd St,Bloomington,IN,47403-2212,812-333-4001
Open Door Health Services YMCA,MERIDIAN HEALTH SERVICES CORP.,424 E Southway Blvd Ste 1,Kokomo,IN,46902-3814,765-865-8914
Open Door School-Based Health,"Health Net, Inc.",215 S Westplex Ave RM 3,Bloomington,IN,47404-5082,812-333-1905
Family Heath Clinic of Burlington,"Jane Pauley Community Health Center, Inc.",3611 S Reed Rd,Kokomo,IN,46902-3806,844-695-7242
Fayette County Medical Center,"Jane Pauley Community Health Center, Inc.",3510 S Lafountain St,Kokomo,IN,46902-3803,844-695-7242
Centerstone Health Services - Connersville,INDIANA HEALTH CENTERS INCORPORATED,35 Bob Babbs Dr,Spencer,IN,47460-6828,812-585-3775
Carroll Consolidated School Corporation,INDIANA HEALTH CENTERS INCORPORATED,3118 S Lafountain St,Kokomo,IN,46902-3710,765-864-4160
Carroll Elementary School,"Bowen Health, INC.","2312 S Dixon Rd, Ste 250",Kokomo,IN,46902-6426,800-342-5653
Grogan Family Medicine - Centerstone Health Services,"Health Net, Inc.","2440 South Henderson St, Rooms 122 and124",Bloomington,IN,47401-4620,812-822-3748
Carroll Jr-Sr High School,MERIDIAN HEALTH SERVICES CORP.,3620 White River Blvd,Muncie,IN,47304,765-288-1928
VPCHC - Rockville,"OPEN DOOR HEALTH SERVICES, INC.",2600 W White River Blvd,Muncie,IN,47303-5263,765-286-7000
IHC Jackson County Annex,MERIDIAN HEALTH SERVICES CORP.,110 North Tillotson Ave,Muncie,IN,47304,765-288-8770
IHC Marion,MERIDIAN HEALTH SERVICES CORP.,130 N Tillotson Ave,Muncie,IN,47304-3987,765-288-1928
VPCHC - Bloomingdale,MERIDIAN HEALTH SERVICES CORP.,100 N Tillotson Ave,Muncie,IN,47304-3997,765-288-1928
Riggs Community Health Center South Street,MERIDIAN HEALTH SERVICES CORP.,240 N Tillotson Ave,Muncie,IN,47304-3988,765-288-1928
Ferry,MERIDIAN HEALTH SERVICES CORP.,205 N TILLOTSON AVE,MUNCIE,IN,47304-3900,765-288-1928
IHC Grant-Blackford,INDIANA HEALTH CENTERS INCORPORATED,1805 E Vaile Street,Kokomo,IN,46901-5614,765-252-4249
Riggs Community Health Center Annex,"OPEN DOOR HEALTH SERVICES, INC.",1651 E 29th St,Muncie,IN,47302-5886,765-286-7000 x76528
IHC at Marion,ADULT & CHILD MENTAL HEALTH CENTER INC,300 W Clear Creek Dr,Bloomington,IN,47403-4800,877-882-5122
IHC Grant County WIC,MERIDIAN HEALTH SERVICES CORP.,1601 E 26th St # 6,Muncie,IN,47302-5808,765-288-1928
Camden Early Childhood Center,"OPEN DOOR HEALTH SERVICES, INC.",1804-1806 West Royale Dr,Muncie,IN,47304,765-286-6000
IHC HealthQuest Van,"OPEN DOOR HEALTH SERVICES, INC.",333 S Madison St,Muncie,IN,47305-2465,765-286-7000
IHC at Jackson County Juvenile Home,"OPEN DOOR HEALTH SERVICES, INC.",333 S Madison St,Muncie,IN,47305-2465,765-286-7000
Delphi Community High School,"Jane Pauley Community Health Center, Inc.",1234 N Courtland Ave,Kokomo,IN,46901-2754,844-695-7242
Delphi Community Middle School,"OPEN DOOR HEALTH SERVICES, INC.",615 N Walnut St,Muncie,IN,47305,765-286-7000
Well Care Community Health - Dental,MERIDIAN HEALTH SERVICES CORP.,801 N Walnut St # 1,Muncie,IN,47305-1458,765-288-1928
Delphi Community Elementary School,"OPEN DOOR HEALTH SERVICES, INC.",801 N Walnut St,Muncie,IN,47305-1458,765-286-7000
Delphi Community School Corporation,PURDUE UNIVERSITY,425 E 5th St,Burlington,IN,46915-9700,765-566-5055
Family Health Clinic of Carroll County,MERIDIAN HEALTH SERVICES CORP.,707 W 3rd St,Connersville,IN,47331-1577,765-827-1164
Open Door Health Services Blackford County,NEIGHBORHOOD HEALTH CENTER INC,2025 Virginia Ave,Connersville,IN,47331-2971,765-827-8064
SICHC Bedford,CENTERSTONE HEALTH SERVICES INC,390 Erie Ave,Connersville,IN,47331-3177,765-377-1205
IHC Lawrence County WIC,PURDUE UNIVERSITY,105 S 225 E Rm Wr-A,Flora,IN,46929-9688,574-967-4881
IHC Bedford,PURDUE UNIVERSITY,105 S 225 E,Flora,IN,46929-9688,574-967-4881
Neighborhood Health Center - Union County Medical Center,CENTERSTONE HEALTH SERVICES INC,1550 E State Road 44,Connersville,IN,47331-8293,765-222-1400
VPCHC - Clinton,PURDUE UNIVERSITY,2362 E State Road 18,Flora,IN,46929-8201,574-967-4157
VPCHC - Mobile School Based Health Center,MERIDIAN HEALTH SERVICES CORP.,8707 W US Highway 36  RM N2,Modoc,IN,47358-9583,765-288-1928
"Well Care Community Health, Inc.",VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,727 N Lincoln Rd,Rockville,IN,47872-1117,765-569-1123
"Neighborhood Health Center, Inc.",INDIANA HEALTH CENTERS INCORPORATED,120 Saint Louis Ave,Seymour,IN,47274-2304,812-405-1857
Centerstone Health Services - Richmond,INDIANA HEALTH CENTERS INCORPORATED,3710 S Western Ave,Marion,IN,46953-4827,765-664-7492
Meridian Health Services - Richmond,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,201 W Academy St,Bloomingdale,IN,47832-8095,765-498-9000
VPCHC - Clinton Dental,RIGGS COMMUNITY HEALTH CENTER INC,2316 South St,Lafayette,IN,47904-2971,765-742-1567
"Wabash Valley Health Center, Inc.","VALLEY OAKS HEALTH, INC",2323 Ferry Street Floor 2,Lafayette,IN,47904-3054,866-682-5539
IHC Peru,INDIANA HEALTH CENTERS INCORPORATED,116 East 32nd Street  STE A,Marion,IN,46953-4060,765-662-2039
VPCHC - Terre Haute North,MERIDIAN HEALTH SERVICES CORP.,1500 Salem St  STE 110A,Lafayette,IN,47904-2170,765-288-1928
Greene County Health- Shakamak,RIGGS COMMUNITY HEALTH CENTER INC,1716 Hartford St,Lafayette,IN,47904-2173,765-742-1567
Hamilton Center - A Moving Grace,RIGGS COMMUNITY HEALTH CENTER INC,1324 Tippecanoe St,Lafayette,IN,47904-2051,765-742-1567
Grace Clinic - Vigo County,INDIANA HEALTH CENTERS INCORPORATED,925 S Nebraska St,Marion,IN,46953-1874,765-664-7492
IHC Logansport,MERIDIAN HEALTH SERVICES CORP.,323 E 2nd St  STE 1,Marion,IN,46952-3871,765-573-5567
IHC Cass County WIC,INDIANA HEALTH CENTERS INCORPORATED,325 E. 2nd Street,Marion,IN,46952-3871,765-613-0150
VPCHC - Cayuga,MERIDIAN HEALTH SERVICES CORP.,911 N Western Ave,Marion,IN,46952-2505,765-289-1928
VPCHC - Terre Haute South,PURDUE UNIVERSITY,205 E Cumberland St,Camden,IN,46917-4108,574-686-2362
VPCHC - Ivy Tech,INDIANA HEALTH CENTERS INCORPORATED,HEALTHQUEST VAN 925 SOUTH,MARION,IN,46952-3849,765-664-7492
VPCHC - West Terre Haute,INDIANA HEALTH CENTERS INCORPORATED,416 E. Walnut Street,Brownstown,IN,47220-1515,812-358-5180
LifeSpring Mobile Health Services,PURDUE UNIVERSITY,301 Armory Rd,Delphi,IN,46923-1904,765-564-3481
Austin Medical Center,PURDUE UNIVERSITY,401 Armory Rd,Delphi,IN,46923-1906,765-564-3411
Greene County Health Linton,WELL CARE COMMUNITY HEALTH INC,100 Mattie Harris Rd,Centerville,IN,47330-1335,765-855-3435
Well Care Community Health-Foundations Family Medicine Austin,PURDUE UNIVERSITY,300 W Vine St,Delphi,IN,46923-1651,765-564-3895
Bowen Center- Wabash,PURDUE UNIVERSITY,300 W Vine St Rm 309,Delphi,IN,46923-1651,765-564-3895
Well Care Community Health-Austin SBHC,PURDUE UNIVERSITY,901 Prince William Rd Ste A,Delphi,IN,46923-1759,765-564-3016
SICHC Mitchell,"OPEN DOOR HEALTH SERVICES, INC.",410 Pilgrim Blvd,Hartford City,IN,47348-1382,765-286-7000
Talawanda Middle School - School-Based Services,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",629 Lincoln Ave,Bedford,IN,47421-4142,812-675-4470
Kramer Elementary School-Based Services,MERIDIAN HEALTH SERVICES CORP.,1150 S MAIN ST,DUNKIRK,IN,47336-9701,765-768-6065
Oxford Community Health Center,INDIANA HEALTH CENTERS INCORPORATED,2415 Mitchell Road  STE A,Bedford,IN,47421,317-576-1335
MeridianMD Convenience Care,INDIANA HEALTH CENTERS INCORPORATED,2415 Mitchell Road  STE C,Bedford,IN,47421,317-576-1335
SICHC Orleans High School,NEIGHBORHOOD HEALTH CENTER INC,950 N Market St,Liberty,IN,47353-8496,765-458-5191
Tri-Village School District,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,777 S Main St STE 100,Clinton,IN,47842-2493,765-828-1003
Orleans Family Health,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,777 S Main St STE 100,Clinton,IN,47842-2493,765-828-1003
New Madison Medical Center,MERIDIAN HEALTH SERVICES CORP.,380 Hub Etchison Parkway  RM R144,Richmond,IN,47374-5339,765-288-1928
SICHC Salem,WELL CARE COMMUNITY HEALTH INC,203 E Main St,Richmond,IN,47374-4208,765-973-9294
Salem Community Schools Health Center,MERIDIAN HEALTH SERVICES CORP.,501 1/2 S 7th St  RM 1,Richmond,IN,47374,765-288-1928
Marshall School-Based Health Center,MERIDIAN HEALTH SERVICES CORP.,520 S 9th St Ste A,Richmond,IN,47374-6230,765-935-5390
Crossroad Health Center Harrison,NEIGHBORHOOD HEALTH CENTER INC,101 S 10th St,Richmond,IN,47374-5547,765-965-4299
Bogan Elementary School-Based Services,CENTERSTONE HEALTH SERVICES INC,831 Dillon Drive  STE A,Richmond,IN,47374-8048,765-983-8000
SALEM COMMUNITY MEDICAL SERVICES,MERIDIAN HEALTH SERVICES CORP.,2300 Chester Blvd,Richmond,IN,47374-1221,765-939-2395
SIHF Healthcare – Danville School,MERIDIAN HEALTH SERVICES CORP.,730 W Washington St STE A,Winchester,IN,47394-1425,765-584-7820
VERMILION AREA COMM HLTH CTR,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,1792 E State Road 163,Clinton,IN,47842-7327,765-828-3214
Family Health Clinic of Wolcott,MERIDIAN HEALTH SERVICES CORP.,285 W 12th Street  STE 205,Peru,IN,46970-1654,765-288-1928
FAMILY HEALTH SERVICES OF DARKE COUNTY,MERIDIAN HEALTH SERVICES CORP.,285 W 12th St Ste 102,Peru,IN,46970-1654,765-288-1928
Anthony Wayne and Care-A-Lot Early Childhood Center,MERIDIAN HEALTH SERVICES CORP.,285 W 12th St Ste 206,Peru,IN,46970-1654,765-288-1928
Family Health Clinic of Monon,"WABASH VALLEY HEALTH CENTER, INC.",1436 Locust St,Terre Haute,IN,47807-1648,812-232-7447
Bowen Center- Huntington,INDIANA HEALTH CENTERS INCORPORATED,661 E Main St,Peru,IN,46970-2662,765-472-3192
Martin County Family Health Center,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,1530 N 7th St Ste 201,Terre Haute,IN,47807-1061,812-238-7631
Loogootee High School,GREENE COUNTY HEALTH INC,326 E Main St,Jasonville,IN,47438-1510,812-665-9000
ARCANUM,HAMILTON CENTER INC,622 8th Ave,Terre Haute,IN,47804-2744,812-231-8377
Ansonia Local School District,HAMILTON CENTER INC,622 8th Ave,Terre Haute,IN,47804-2744,812-231-8377
Hamilton West,INDIANA HEALTH CENTERS INCORPORATED,1700 Dividend Dr,Logansport,IN,46947-1572,574-722-7407
Well Care Community Health-Foundations Family Medicine Henryville,INDIANA HEALTH CENTERS INCORPORATED,1803 Smith St,Logansport,IN,46947-1576,514-753-4961
Prospect Hill Community Health Center,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,703 W Park St,Cayuga,IN,47928-8207,765-492-9042
Mobile Dental Van,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,4757 S 7th St,Terre Haute,IN,47802-4559,812-234-2289
Hamilton Community Health Center,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,8000 S Education Dr Rm E148A,Terre Haute,IN,47802-4883,812-229-1121
North Knox Jr/Sr High School,VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC,601 W National Ave,West Terre Haute,IN,47885-1303,844-900-9355
Hamilton School-Based Health Center,LIFESPRING INC,2277 W Frontage Rd,Austin,IN,47102-8820,812-413-3117
Edgewood Local Schools SBHC,LIFESPRING INC,2277 W Frontage Rd,Austin,IN,47102-8820,813-413-3117
Fairfield School Based Health Center,GREENE COUNTY HEALTH INC,1600 A St NE Ste 9,Linton,IN,47441-1612,812-847-7005
Fairfield Township Community Health Center,WELL CARE COMMUNITY HEALTH INC,25 W Main St,Austin,IN,47102-1303,842-719-8100
Carroll County Middle School,"Bowen Health, INC.",255 N Miami St,Wabash,IN,46992-2705,260-563-8446
Cartmell Elementary School,WELL CARE COMMUNITY HEALTH INC,401 S US Highway 31,Austin,IN,47102-8732,812-794-8100
Carroll County High School,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",2759 State Rd 37,Mitchell,IN,47446-6016,812-992-5440
Carroll County Early Childhood Development Center,MERIDIAN HEALTH SERVICES CORP.,824 Huntington Ave,Warren,IN,46792-9277,765-288-1928
North Knox Primary,MERIDIAN HEALTH SERVICES CORP.,2072 IN-67,Portland,IN,47371,765-288-1928
